data_ms,duobit_lr,gnorm,loss,lr,mem_alloc_mb,mem_peak_mb,mem_reserved_mb,ppl,residual_abs_mean,rss_mb,scale_mean,scale_ratio,skipped_steps,step,step_ms,tok_per_s,tok_per_s_ema,tokens_seen,transition_rate
188.05909156799316,0.00016,0.025689205154776573,10.978813171386719,2e-05,2274.8388671875,8110.40771484375,9730.0,58618.94233602367,0.004491330398903311,2166.83203125,0.043452490121126175,1.0,0,1,738.2297515869141,17680.938130139075,17680.938130139075,16384,0.039873550585114347
0.2434253692626953,0.0016,0.13614794611930847,9.041507720947266,0.0002,2278.31103515625,8554.017578125,11318.0,8446.502429082682,0.010615550682388272,2166.83203125,0.043452490121126175,1.0,0,10,682.640552520752,24032.558233545336,18633.681145650015,163840,0.04286113027619109
0.11682510375976562,0.0032,0.12325948476791382,7.954615116119385,0.0004,2278.95263671875,8554.87548828125,11318.0,2848.691702521614,0.012279198013272041,2166.83203125,0.043452490121126175,1.0,0,20,686.4151954650879,23836.916212150587,19414.1664056251,327680,0.03285251267569476
0.22149085998535156,0.0048,0.07961254566907883,7.859956741333008,0.0006,2282.12451171875,8557.32666015625,11318.0,2591.4082721203868,0.01398193771995272,2166.83203125,0.043452490121126175,1.0,0,30,689.6371841430664,23767.779532936056,20067.208374721744,491520,0.025575286673940482
0.1201629638671875,0.0064,0.1168120726943016,7.7797064781188965,0.0008,2283.3388671875,8563.63623046875,11318.0,2391.5727385751866,0.015339736280699784,2166.83203125,0.043452490121126175,1.0,0,40,691.7691230773926,23724.664996513948,20615.826867990574,655360,0.021457958945724494
0.15473365783691406,0.008,0.09082584083080292,7.783790588378906,0.001,2281.62451171875,8563.63623046875,11318.0,2401.360158180301,0.01629181107331579,2167.23828125,0.043452490121126175,1.0,0,50,698.3761787414551,23711.480407118728,21080.174898859797,819200,0.02186975188798323
0.17070770263671875,0.007991230580935368,0.09836667776107788,7.723982810974121,0.000998903822616921,2280.90625,8563.63623046875,11318.0,2261.9505855619495,0.017026890431789253,2167.23828125,0.043452490121126175,1.0,0,60,684.7898960113525,23829.035747189344,21492.50402610923,983040,0.020837979750978758
0.278472900390625,0.007964965047469654,0.10497468709945679,7.771313190460205,0.0009956206309337068,2280.24365234375,8563.63623046875,11318.0,2371.583585328581,0.017521950144941487,2167.23828125,0.043452490121126175,1.0,0,70,685.1859092712402,23910.360772235377,21855.18253802815,1146880,0.021574386806580664
0.1666545867919922,0.0079213313626417,0.08844196796417236,7.659424304962158,0.0009901664203302125,2279.505859375,8563.63623046875,11318.0,2120.5362948893626,0.018002977635020217,2174.8359375,0.043452490121126175,1.0,0,80,681.1795234680176,23974.672594605436,22173.106046514742,1310720,0.019971473001305008
0.19693374633789062,0.007860542105377948,0.08356910943984985,7.480921745300293,0.0009825677631722434,2277.7685546875,8563.63623046875,11318.0,1773.875083630388,0.01845013265689515,2174.54296875,0.043452490121126175,1.0,0,90,684.0972900390625,23983.999819630015,22444.74011248203,1474560,0.017031594302890272
0.1633167266845703,0.00778289343482927,0.07728748768568039,7.530211925506592,0.0009728616793536587,2276.81982421875,8563.63623046875,11318.0,1863.5003849754337,0.018688825649696213,2174.54296875,0.043452490121126175,1.0,0,100,691.0312175750732,23956.480009102976,22671.501096975175,1638400,0.018657740196393043
0.17523765563964844,0.007688763647513363,0.06737323850393295,7.315216541290283,0.0009610954559391703,2276.62451171875,8563.63623046875,11318.0,1502.9972217631428,0.01895931025100015,2174.54296875,0.043452490121126175,1.0,0,110,682.396650314331,23998.986089597012,22870.62384586845,1802240,0.01753805382624136
0.21600723266601562,0.007578611334292138,0.06553872674703598,7.3515625,0.0009473264167865173,2276.91064453125,8563.63623046875,11318.0,1558.6299855556538,0.019200397485987206,2174.54296875,0.043452490121126175,1.0,0,120,682.2004318237305,23970.976178695917,23035.676695792572,1966080,0.016245514034186937
0.270843505859375,0.007452973146163134,0.08632855862379074,7.295228958129883,0.0009316216432703917,2277.74365234375,8567.65625,11318.0,1473.254175803191,0.01932151563803671,2174.54296875,0.043452490121126175,1.0,0,130,689.6700859069824,23759.414025878043,23144.237295305393,2129920,0.01884225980360696
0.8227825164794922,0.007312461179749811,0.07600029557943344,7.186359882354736,0.0009140576474687263,2277.3916015625,8567.65625,11318.0,1321.284809014767,0.019512963087387418,2174.54296875,0.043452490121126175,1.0,0,140,690.0670528411865,23812.64349973122,23244.498225969266,2293760,0.015898202672057847
0.12135505676269531,0.00715775999522832,0.0700356662273407,7.216982841491699,0.00089471999940354,2278.73876953125,8567.65625,11318.0,1362.3723601043018,0.019613807481868945,2174.54296875,0.043452490121126175,1.0,0,150,694.807767868042,23770.620049515353,23323.416499501178,2457600,0.015084009905226452
0.1251697540283203,0.006989623281219144,0.07497093826532364,7.171268463134766,0.000873702910152393,2278.91064453125,8567.65625,11318.0,1301.4944539300561,0.019640518115680423,2174.54296875,0.043452490121126175,1.0,0,160,689.5318031311035,23761.481845339305,23389.126301376895,2621440,0.01581393203260381
0.23627281188964844,0.00680887018289189,0.05487730726599693,7.099787712097168,0.0008511087728614862,2278.43408203125,8567.65625,11318.0,1211.7098158514461,0.019688398780967203,2174.54296875,0.043452490121126175,1.0,0,170,689.5172595977783,23740.143200583974,23441.778836257956,2785280,0.01562961299018035
0.16021728515625,0.006616381311172369,0.05253274366259575,6.994771957397461,0.0008270476638965462,2279.90625,8567.65625,11318.0,1090.9148742979055,0.019746554213331408,2174.54296875,0.043452490121126175,1.0,0,180,687.3729228973389,23808.761779744826,23496.826277780983,2949120,0.01509400471728387
0.21529197692871094,0.006413094452494688,0.054565250873565674,6.9955549240112305,0.000801636806561836,2276.76708984375,8567.65625,11318.0,1091.7693586956705,0.01978246993533791,2174.8203125,0.043452490121126175,1.0,0,190,687.1070861816406,23881.57039619104,23554.537895542493,3112960,0.014858708790621055
0.16760826110839844,0.006200000000000001,0.06254284828901291,7.005629062652588,0.0007750000000000001,2280.12451171875,8567.65625,11318.0,1102.8235819791807,0.01977895796228847,2174.8203125,0.043452490121126175,1.0,0,200,691.8976306915283,23847.090657425084,23598.420809824882,3276800,0.014420140448837259
0.11301040649414062,0.0059781361284406784,0.06318638473749161,7.055878639221191,0.0007472670160550848,2275.1435546875,8567.65625,11318.0,1159.6559429740066,0.019781993593960594,2174.8203125,0.043452490121126175,1.0,0,210,688.0478858947754,23889.20827251481,23642.03892922837,3440640,0.014500165800226773
0.12803077697753906,0.005748583736297283,0.05061894655227661,7.02778434753418,0.0007185729670371604,2280.43408203125,8567.65625,11318.0,1127.5296267566448,0.019794148655948484,2174.8203125,0.043452490121126175,1.0,0,220,684.4813823699951,23884.63409223119,23678.42820367879,3604480,0.013595217465716791
0.16570091247558594,0.005512461179749811,0.0507204532623291,6.932448387145996,0.0006890576474687264,2275.43408203125,8567.65625,11318.0,1025.0005079629507,0.01975546263277389,2174.8203125,0.043452490121126175,1.0,0,230,684.1959953308105,23916.56699707187,23714.14902268775,3768320,0.012935626724857197
0.16570091247558594,0.005270918824158803,0.04367433115839958,6.842148780822754,0.0006588648530198504,2278.10107421875,8567.65625,11318.0,936.4993059962661,0.019698115727221188,2174.8203125,0.043452490121126175,1.0,0,240,682.6450824737549,23908.31603666684,23743.274074784615,3932160,0.012570364813982842
0.16570091247558594,0.00502513343960095,0.04949941113591194,6.886536121368408,0.0006281416799501187,2277.529296875,8567.65625,11318.0,979.0043847921213,0.019663574709715893,2174.8203125,0.043452490121126175,1.0,0,250,693.516731262207,23893.30235803169,23765.778317271677,4096000,0.012263701249384935
0.2684593200683594,0.004776302467763552,0.052750129252672195,6.9017534255981445,0.000597037808470444,2278.005859375,8567.65625,11318.0,994.0161217586597,0.019587692274779113,2174.87890625,0.043452490121126175,1.0,0,260,686.7144107818604,23879.47830448436,23782.83331535358,4259840,0.012301407429989517
0.16379356384277344,0.004525638188129005,0.050558459013700485,7.007419586181641,0.0005657047735161256,2276.54833984375,8567.65625,11318.0,1104.7999824188298,0.0195646064317117,2174.87890625,0.043452490121126175,1.0,0,270,684.3092441558838,23919.420711215556,23803.321424732872,4423680,0.01174547525832745
0.12159347534179688,0.004274361811870998,0.03648170456290245,6.7993574142456055,0.0005342952264838748,2278.552734375,8567.65625,11318.0,897.2705330994418,0.01952719483064309,2174.87890625,0.043452490121126175,1.0,0,280,688.0428791046143,23821.395004963462,23806.03246176746,4587520,0.011156316186380848
0.13518333435058594,0.004023697532236448,0.04167858138680458,6.767650604248047,0.000502962191529556,2278.029296875,8567.65625,11318.0,869.2672403192123,0.019491391926331217,2174.87890625,0.043452490121126175,1.0,0,290,687.4890327453613,23855.94949276561,23813.52001641718,4751360,0.009643221979761675
0.28634071350097656,0.003774866560399051,0.04789813607931137,6.749670505523682,0.00047185832004988137,2277.2431640625,8567.65625,11318.0,853.7774012374887,0.01937939320459748,2174.87890625,0.043452490121126175,1.0,0,300,696.8634128570557,23777.7938336777,23808.161089006255,4915200,0.010067082236912479
