data_ms,gnorm,loss,lr,mem_alloc_mb,mem_peak_mb,mem_reserved_mb,ppl,rss_mb,skipped_steps,step,step_ms,tok_per_s,tok_per_s_ema,tokens_seen
176.61786079406738,0.5487418174743652,10.982076644897461,2e-05,2527.5693359375,8193.83154296875,9842.0,58810.55619487993,2246.76953125,0,1,805.1896095275879,16673.272636529837,16673.272636529837,16384
0.14138221740722656,0.6191250681877136,10.809297561645508,0.0002,2529.533203125,8571.93896484375,11414.0,49478.700431748424,2247.171875,0,10,664.6218299865723,24674.55182577036,17873.464514915915,163840
0.22935867309570312,1.3976964950561523,9.660449028015137,0.0004,2529.533203125,8571.93896484375,11414.0,15684.826013382753,2247.17578125,0,20,665.022611618042,24626.84217080673,18886.47116329954,327680
0.16236305236816406,1.0520845651626587,8.40025520324707,0.0006,2529.533203125,8571.93896484375,11414.0,4448.201798401959,2247.18359375,0,30,666.5349006652832,24554.91965992178,19736.738437792876,491520
0.2429485321044922,0.6088187098503113,7.682108402252197,0.0008,2529.533203125,8571.93896484375,11414.0,2169.1884756898676,2247.18359375,0,40,668.6868667602539,24589.194775743905,20464.606888485527,655360
0.1919269561767578,0.704825758934021,7.604016304016113,0.001,2529.533203125,8571.93896484375,11414.0,2006.2373950472834,2247.58984375,0,50,666.5840148925781,24529.032996547954,21074.27080469489,819200
0.3027915954589844,0.6795793771743774,7.47580623626709,0.000998903822616921,2529.533203125,8571.93896484375,11414.0,1764.8239798556208,2247.58984375,0,60,665.0421619415283,24561.772304060472,21597.396029599728,983040
0.27561187744140625,0.6350664496421814,7.3685078620910645,0.0009956206309337068,2529.533203125,8571.93896484375,11414.0,1585.266581026406,2247.58984375,0,70,663.0802154541016,24631.55851996756,22052.520403154904,1146880
0.21576881408691406,0.7894286513328552,7.243277072906494,0.0009901664203302125,2529.533203125,8571.93896484375,11414.0,1398.6700123630394,2248.51171875,0,80,664.4563674926758,24687.182859521065,22447.719771609827,1310720
0.15211105346679688,0.5563926696777344,7.154773712158203,0.0009825677631722434,2529.533203125,8571.93896484375,11414.0,1280.2027107627441,2247.6015625,0,90,663.5172367095947,24683.280332361894,22783.05385572264,1474560
0.15997886657714844,0.5128192901611328,7.099954128265381,0.0009728616793536587,2529.533203125,8571.93896484375,11414.0,1211.9114807356693,2247.60546875,0,100,666.0158634185791,24739.024786121186,23076.44949528242,1638400
0.141143798828125,0.533336341381073,6.871225357055664,0.0009610954559391703,2529.533203125,8571.93896484375,11414.0,964.1292448603416,2247.60546875,0,110,658.7643623352051,24712.78868718172,23321.900374067314,1802240
0.7901191711425781,0.4791043698787689,6.854923248291016,0.0009473264167865173,2529.533203125,8571.93896484375,11414.0,948.5393245969474,2247.60546875,0,120,658.1752300262451,24781.292872107362,23540.809248773323,1966080
0.2675056457519531,0.40384408831596375,6.7594075202941895,0.0009316216432703917,2529.533203125,8818.66015625,11414.0,862.1312491725533,2247.60546875,0,130,666.1062240600586,24635.20007433635,23704.967872607776,2129920
0.9973049163818359,0.3943365216255188,6.641847610473633,0.0009140576474687263,2529.533203125,8818.66015625,11414.0,766.5098972358893,2247.60546875,0,140,664.3350124359131,24685.751523589817,23852.08542025508,2293760
0.16427040100097656,0.3909754455089569,6.651567459106445,0.00089471999940354,2529.533203125,8818.66015625,11414.0,773.9965831974816,2247.60546875,0,150,660.7494354248047,24639.264981321416,23970.16235441503,2457600
0.1575946807861328,0.4534012973308563,6.603882789611816,0.000873702910152393,2529.533203125,8818.66015625,11414.0,737.9549575529684,2247.60546875,0,160,669.727087020874,24552.674600875765,24057.53919138414,2621440
0.17499923706054688,0.40064311027526855,6.551999092102051,0.0008511087728614862,2529.533203125,8818.66015625,11414.0,700.6434254716388,2247.60546875,0,170,667.7908897399902,24491.157486505257,24122.581935652306,2785280
0.1957416534423828,0.3972434103488922,6.45684814453125,0.0008270476638965462,2529.533203125,8818.66015625,11414.0,637.0499994291141,2247.60546875,0,180,669.7332859039307,24482.292557572215,24176.53852894029,2949120
0.1735687255859375,0.4377637803554535,6.423182487487793,0.000801636806561836,2529.533203125,8818.66015625,11414.0,615.9602840362102,2247.8828125,0,190,671.0927486419678,24468.43565071099,24220.323097205895,3112960
0.16427040100097656,0.45732027292251587,6.435617446899414,0.0007750000000000001,2529.533203125,8818.66015625,11414.0,623.6675455966244,2247.8828125,0,200,669.029712677002,24487.20761215873,24260.355774448817,3276800
0.3101825714111328,0.43415236473083496,6.472614288330078,0.0007472670160550848,2529.533203125,8818.66015625,11414.0,647.1734152435475,2247.8828125,0,210,669.8181629180908,24520.864208614483,24299.43203957367,3440640
0.1609325408935547,0.3829304873943329,6.460381507873535,0.0007185729670371604,2529.533203125,8818.66015625,11414.0,639.3049099073303,2247.8828125,0,220,665.3702259063721,24499.4872915607,24329.44032737172,3604480
