data_ms,gnorm,loss,loss_scale,lr,mem_alloc_mb,mem_peak_mb,mem_reserved_mb,ppl,rss_mb,skipped_steps,step,step_ms,tok_per_s,tok_per_s_ema,tokens_seen
193.20392608642578,0.7154479026794434,10.988410949707031,65536.0,1e-05,2279.31884765625,7252.734375,8212.0,59184.26251919199,2374.84765625,0,1,782.8819751739502,16769.097562386178,16769.097562386178,16384
0.1735687255859375,0.8137069344520569,10.802573204040527,65536.0,0.0001,2283.83447265625,7862.6083984375,9782.0,49147.10409188182,2329.35546875,0,10,456.7718505859375,35746.77066169309,19615.748527282212,163840
0.17309188842773438,1.5493714809417725,9.778156280517578,65536.0,0.0002,2283.83447265625,7862.6083984375,9782.0,17644.09208944156,2330.625,0,20,460.4833126068115,35557.709606584474,22007.04268917755,327680
0.10561943054199219,1.3737642765045166,8.789982795715332,65536.0,0.0003,2283.83447265625,7862.6083984375,9782.0,6568.119174702774,2330.625,0,30,459.2785835266113,35606.53870771633,24046.967091958366,491520
0.29659271240234375,0.7971585392951965,7.88040828704834,65536.0,0.0004,2283.83447265625,7862.6083984375,9782.0,2644.9522390206785,2330.625,0,40,458.0671787261963,35456.71048689214,25758.428601198433,655360
0.1990795135498047,0.5533669590950012,7.590153694152832,65536.0,0.0005,2283.83447265625,7862.6083984375,9782.0,1978.6175923325852,2331.11328125,0,50,463.20533752441406,35411.35650438193,27206.367786675957,819200
0.18978118896484375,0.8119978308677673,7.47904109954834,65536.0,0.0006,2283.83447265625,7862.6083984375,9782.0,1770.5421879702187,2331.11328125,0,60,467.7734375,35145.36916394861,28397.217993266855,983040
0.23365020751953125,0.7379576563835144,7.353270530700684,65536.0,0.0007,2283.83447265625,7862.6083984375,9782.0,1561.2944482662758,2331.11328125,0,70,466.2518501281738,35131.245102318484,29407.322059624596,1146880
0.12969970703125,0.976230263710022,7.227960586547852,65536.0,0.0008,2283.83447265625,7862.6083984375,9782.0,1377.4105281107086,2376.46875,0,80,465.3136730194092,35144.405758141744,30267.884614402166,1310720
0.1621246337890625,0.6348994374275208,7.075790882110596,65536.0,0.0009000000000000001,2283.83447265625,7862.6083984375,9782.0,1182.978727641662,2376.5,0,90,462.1734619140625,35144.867683066164,30999.432074701766,1474560
0.17762184143066406,0.5403959155082703,7.034325122833252,65536.0,0.001,2283.83447265625,7862.6083984375,9782.0,1134.9287162002322,2376.5,0,100,466.74656867980957,35121.38062830543,31617.724357742314,1638400
0.18167495727539062,0.638184666633606,6.805481910705566,65536.0,0.000999973595252401,2283.83447265625,7862.6083984375,9782.0,902.7827257753664,2376.5,0,110,464.9810791015625,35277.20498506842,32166.646451841232,1802240
0.28634071350097656,0.5871156454086304,6.787938117980957,65536.0,0.000999894384108318,2283.83447265625,7862.6083984375,9782.0,887.0826151876627,2376.5,0,120,460.9212875366211,35235.51895336175,32626.97732706931,1966080
0.1995563507080078,0.49109745025634766,6.687151908874512,65536.0,0.0009997623758635297,2283.83447265625,7862.6083984375,9782.0,802.0347281602906,2376.5,0,130,462.57472038269043,35426.34593481905,33046.88261823177,2129920
0.7469654083251953,0.4689362049102783,6.5555620193481445,65536.0,0.0009995775860097895,2283.83447265625,7862.6083984375,9782.0,703.1442194500328,2376.5,0,140,460.4682922363281,35408.079542238884,33401.062156832835,2293760
0.12612342834472656,0.43453821539878845,6.561509609222412,65536.0,0.0009993400362330058,2283.83447265625,7862.6083984375,9782.0,707.3386940325173,2376.5,0,150,459.3653678894043,35517.127911837466,33718.47202008353,2457600
0.2148151397705078,0.5150732398033142,6.519400119781494,65536.0,0.000999049754410698,2283.83447265625,7862.6083984375,9782.0,678.1714416603069,2376.5,0,160,463.95277976989746,35430.07381184095,33975.21228884714,2621440
0.19431114196777344,0.49545183777809143,6.46567964553833,65536.0,0.000998706774608725,2283.83447265625,7862.6083984375,9782.0,642.7010239254479,2376.5,0,170,458.93406867980957,35512.3356106636,34205.780787119606,2785280
0.09679794311523438,0.45106783509254456,6.354384422302246,65536.0,0.0009983111370772877,2283.83447265625,7862.6083984375,9782.0,575.0082694247783,2376.5,0,180,461.5201950073242,35547.74029384631,34407.07471312861,2949120
0.17571449279785156,0.4823421537876129,6.3266096115112305,65536.0,0.0009978628882462038,2283.83447265625,7862.6083984375,9782.0,559.2572765279374,2376.5,0,190,458.0068588256836,35541.20441639031,34577.19416861786,3112960
0.202178955078125,0.5196991562843323,6.323796272277832,65536.0,0.0009973620807194618,2283.83447265625,7862.6083984375,9782.0,557.6861072427149,2376.5,0,200,460.0074291229248,35524.914717067906,34719.35225088537,3276800
0.1575946807861328,0.5287100672721863,6.357250213623047,65536.0,0.000996808773269045,2283.83447265625,7862.6083984375,9782.0,576.6584865922996,2376.5,0,210,460.80780029296875,35553.78191282769,34844.51670017672,3440640
0.1609325408935547,0.42382898926734924,6.348389625549316,65536.0,0.0009962030308280363,2283.83447265625,7862.6083984375,9782.0,571.5715233079115,2376.5,0,220,466.4163589477539,35477.9208334525,34939.52732016808,3604480
0.13589859008789062,0.5095247626304626,6.209253311157227,65536.0,0.0009955449244829966,2283.83447265625,7862.6083984375,9782.0,497.32976202614003,2376.5,0,230,460.8626365661621,35420.04630927987,35011.60516853485,3768320
